publishedAt,title,description
2025-04-01 07:00:00,NYC Comptroller Brad Lander Moves to Pursue Securities Litigation Against Tesla Board of Directors - NYC.gov,NYC Comptroller Brad Lander Moves to Pursue Securities Litigation Against Tesla Board of Directors&nbsp;&nbsp;NYC.gov
2025-02-27 08:00:00,Data show Tesla sales declined sharply in Europe - NPR,Data show Tesla sales declined sharply in Europe&nbsp;&nbsp;NPR
2025-02-13 08:00:00,Tesla shares have plunged while Musk takes on Washington. Is that the reason? - ABC News,Tesla shares have plunged while Musk takes on Washington. Is that the reason?&nbsp;&nbsp;ABC News
2024-07-23 07:00:00,Tesla's 2Q profit falls 45% to $1.48 billion as sales drop despite price cuts and low-interest loans - AP News,Tesla's 2Q profit falls 45% to $1.48 billion as sales drop despite price cuts and low-interest loans&nbsp;&nbsp;AP News
2025-03-10 07:00:00,Elon Musk's Tesla facilities in the US face 'Takedown' protests - BBC,Elon Musk's Tesla facilities in the US face 'Takedown' protests&nbsp;&nbsp;BBC
2025-03-17 07:00:00,"Plummeting stock, boycotts and flagging sales: What's fueling turmoil for Tesla? - NBC News","Plummeting stock, boycotts and flagging sales: What's fueling turmoil for Tesla?&nbsp;&nbsp;NBC News"
2025-04-02 07:00:00,Tesla sales plunge: Biggest decline in history - CNN,Tesla sales plunge: Biggest decline in history&nbsp;&nbsp;CNN
2018-04-16 07:00:00,Tesla says its factory is safer. But it left injuries off the books - Reveal from The Center for Investigative Reporting,Tesla says its factory is safer. But it left injuries off the books&nbsp;&nbsp;Reveal from The Center for Investigative Reporting
2022-01-08 08:00:00,Why Tesla Soared as Other Automakers Struggled to Make Cars (Published 2022) - The New York Times,Why Tesla Soared as Other Automakers Struggled to Make Cars (Published 2022)&nbsp;&nbsp;The New York Times
2025-04-22 07:00:00,Musk says he’ll step back from DOGE to focus on Tesla as company sees 71 percent drop in Q1 profits - PBS,Musk says he’ll step back from DOGE to focus on Tesla as company sees 71 percent drop in Q1 profits&nbsp;&nbsp;PBS
2025-05-24 07:00:00,Analyst sets eye-popping Tesla stock price target - TheStreet,Analyst sets eye-popping Tesla stock price target&nbsp;&nbsp;TheStreet
2024-09-23 07:00:00,Tesla - International Trade Union Confederation,Tesla&nbsp;&nbsp;International Trade Union Confederation
2024-11-06 08:00:00,Tesla shares soar more than 14% as Trump win is seen boosting Elon Musk's electric vehicle company - AP News,Tesla shares soar more than 14% as Trump win is seen boosting Elon Musk's electric vehicle company&nbsp;&nbsp;AP News
2025-04-02 07:00:00,"Tesla sales tumble as Musk backlash, competition and aging lineup turn off buyers - PBS","Tesla sales tumble as Musk backlash, competition and aging lineup turn off buyers&nbsp;&nbsp;PBS"
2025-03-29 07:00:00,"From Seattle to Miami, anti-Musk protesters gather at hundreds of Tesla locations - NPR","From Seattle to Miami, anti-Musk protesters gather at hundreds of Tesla locations&nbsp;&nbsp;NPR"
2025-06-06 14:54:00,Tesla shares rebound amid broader market surge as Musk versus Trump spat pauses - NBC News,Tesla shares rebound amid broader market surge as Musk versus Trump spat pauses&nbsp;&nbsp;NBC News
2024-04-21 07:00:00,Tesla: EV giant cuts prices in major markets as sales fall - BBC,Tesla: EV giant cuts prices in major markets as sales fall&nbsp;&nbsp;BBC
2025-04-02 07:00:00,"Tesla sales tumble 13% as Musk backlash, competition and aging lineup turn off buyers - AP News","Tesla sales tumble 13% as Musk backlash, competition and aging lineup turn off buyers&nbsp;&nbsp;AP News"
2025-01-02 08:00:00,"Tesla sales dropped 1.1% in 2024, its first annual decline in a dozen years - AP News","Tesla sales dropped 1.1% in 2024, its first annual decline in a dozen years&nbsp;&nbsp;AP News"
2025-03-25 07:00:00,Tesla sales fall by 49% in Europe even as the electric vehicle market grows - AP News,Tesla sales fall by 49% in Europe even as the electric vehicle market grows&nbsp;&nbsp;AP News
2025-02-03 08:00:00,"Tesla loses market share in Sweden, Norway as Musk looms large - Reuters","Tesla loses market share in Sweden, Norway as Musk looms large&nbsp;&nbsp;Reuters"
2025-05-23 07:00:00,"Tesla (TSLA) Will No Longer Be Seen as “Just” an Automaker, Investor Says - Yahoo Finance","Tesla (TSLA) Will No Longer Be Seen as “Just” an Automaker, Investor Says&nbsp;&nbsp;Yahoo Finance"
2025-03-13 07:00:00,"Elon Musk is winning Republican fans. Can Tesla win them over, too? - NPR","Elon Musk is winning Republican fans. Can Tesla win them over, too?&nbsp;&nbsp;NPR"
2025-03-26 07:00:00,Tesla’s stock is making a comeback. But it’s about to face a massive challenge - CNN,Tesla’s stock is making a comeback. But it’s about to face a massive challenge&nbsp;&nbsp;CNN
2025-06-05 23:11:50,Tesla Stocks Plunge as Musk and Trump Battle - Time Magazine,Tesla Stocks Plunge as Musk and Trump Battle&nbsp;&nbsp;Time Magazine
2024-04-22 07:00:00,Tesla shares tumble on price cuts in run-up to earnings - Reuters,Tesla shares tumble on price cuts in run-up to earnings&nbsp;&nbsp;Reuters
2024-10-24 07:00:00,Tesla rallies most in over a decade on Musk's bold EV forecast - Reuters,Tesla rallies most in over a decade on Musk's bold EV forecast&nbsp;&nbsp;Reuters
